Account_Number,Zip Code,Total_Mortgage_Balances,Total_HE_Balances,Num_Trades_Past_Due,Num_HE_Trades,FICO_Score_Original,Loan Period,Origination_Date,Maturity_Date,LTV_Original,Lien_Position,Origination_DTI,m1_FICO_Score_Current,m1_Commitments,m1_Outstandings,m1_LTV_Current,m1_Day_Past_Due,m1_APR,m1_Deliqunecy,m2_FICO_Score_Current,m2_Commitments,m2_Outstandings,m2_LTV_Current,m2_Day_Past_Due,m2_APR,m2_Deliqunecy,m3_FICO_Score_Current,m3_Commitments,m3_Outstandings,m3_LTV_Current,m3_Day_Past_Due,m3_APR,m3_Deliqunecy,m4_FICO_Score_Current,m4_Commitments,m4_Outstandings,m4_LTV_Current,m4_Day_Past_Due,m4_APR,m4_Deliqunecy,m5_FICO_Score_Current,m5_Commitments,m5_Outstandings,m5_LTV_Current,m5_Day_Past_Due,m5_APR,m5_Deliqunecy,m6_FICO_Score_Current,m6_Commitments,m6_Outstandings,m6_LTV_Current,m6_Day_Past_Due,m6_APR,m6_Deliqunecy
1455,,0,0,,0,0,5479,10/29/2009,10/29/2024,0.138,1,0,801,18581.97,18222.28,0.082,0,0,0,801,16659.8,17699.58,0.077,0,0,0,761,16958.77,17460.66,0,0,0,0,841,17242.72,18211.04,0,0,0,0,822,17343.16,17603.13,0,0,0,0,782,16007.37,16556.23,0,0,0,0
1456,,0,0,,0,0,5509,10/25/2009,11/24/2024,0.618,1,0,607,56820.58,52244.2,0.553,0,0,0,644,60972.98,49765.51,0.537,0,0,0,638,58709.94,49308.37,0.45,0,0,0,619,57616.14,57156.69,0.488,0,0,0,615,57095.55,52755.19,0.471,0,0,0,628,54332.1,52232.85,0.466,0,0,0
1457,,0,0,,0,0,5479,10/24/2009,10/24/2024,0.32,1,0,833,25029.68,23909.8,0.148,0,0,0,859,22852.69,22689.45,0.135,0,0,0,0,22317.8,21732.46,0,0,0,0,0,21697.98,21040.68,0,0,0,0,859,19465.64,20423.45,0,0,0,0,833,18293.82,19763.59,0,0,0,0
1458,,0,0,,0,0,5479,11/5/2009,11/5/2024,0.088,1,0,876,9539.93,9010.71,0.074,0,0,0,859,8991.31,9216.61,0.075,0,0,0,0,9286,9044.32,0.087,0,0,0,0,8745.36,9234.04,0.084,0,0,0,844,9398.61,9336.68,0.074,0,0,0,788,9405.41,9160.75,0.068,0,0,0
1459,,0,0,,0,0,3652,11/2/2009,11/2/2019,0.283,1,0,842,19066.26,19733.65,0.125,0,0,0,825,19105.43,18398.21,0.125,0,0,0,0,18733.61,18609.73,0.145,0,0,0,0,17984.62,17813.18,0.144,0,0,0,808,16716.59,17604.1,0.115,0,0,0,808,16513.27,17713.48,0.114,0,0,0
1460,,0,0,,0,0,5479,11/15/2009,11/15/2024,0.688,1,0,875,69120.95,65286.21,0.493,0,0,0,835,69877.71,66760.4,0.464,0,0,0,852,69935.4,70896.74,0.379,0,0,0,819,63980.15,68201.01,0.399,0,0,0,858,69345.84,66906.47,0.405,0,0,0,833,62166.64,65621.7,0.377,0,0,0
1461,,0,0,,0,0,5479,11/26/2009,11/26/2024,0.32,1,0,575,35143.07,31391.24,0.242,0,0,0,575,37771.69,33014.68,0.249,0,0,0,0,35204.68,32582.45,0.293,0,0,0,0,37075.89,36599.99,0.283,0,0,0,0,36745.31,36249.56,0.25,0,0,0,0,33603.53,32985.26,0.203,0,0,0
1462,,0,0,,0,0,5479,11/28/2009,11/28/2024,0.072,1,0,844,12125.14,12050.47,0.05,0,0,0,844,11429.3,11353.96,0.047,0,0,0,0,11406.95,12150.18,0.06,0,0,0,0,10921.22,11050.96,0.055,0,0,0,819,11238.09,10910.33,0.179,0,0,0,844,11225.66,10684.83,0.193,0,0,0
1463,,0,0,,0,0,5510,11/30/2009,12/31/2024,0.505,1,0,647,52228.23,46098.48,0.445,0,0,0,614,47254.11,46283.95,0.407,0,0,0,578,50353.05,46511.91,0.783,0,0,0,596,50878.98,49191.16,0.76,0,0,0,672,48504.15,48691.14,0.376,0,0,0,620,48065.57,45352.7,0.388,0,0,0
1464,,0,0,,0,0,5479,12/14/2009,12/14/2024,0.486,1,0,749,47348.32,45498.21,0.413,0,0,0,780,46040.04,44172.25,0.389,0,0,0,0,45193.02,43773.36,0,0,0,0,0,45239.08,47451.38,0,0,0,0,850,42638.02,45641.02,0.311,0,0,0,858,41381.61,45211.15,0.311,0,0,0
1465,,0,0,,0,0,3652,12/16/2009,12/16/2019,0.28,1,0,828,17893.63,18333.29,0.137,0,0,0,578,18310.11,18193.26,0.126,0,0,0,590,18496.96,17323.36,0.128,0,0,0,608,16417.14,16759.62,0.124,0,0,0,790,16252.24,17252.22,0.026,0,0,0,782,16224.97,15408.53,0.025,0,0,0
1466,,0,0,,0,0,3652,12/14/2009,12/14/2019,0.122,1,0,816,7224.68,7030.07,0.058,0,0,0,867,6980.43,7073.06,0.06,0,0,0,0,6523.17,6805.8,0.036,0,0,0,0,5949.2,6309.72,0.036,0,0,0,873,5913.64,6077.06,0.026,0,0,0,882,5454.72,5603.46,0.025,0,0,0
1467,,0,0,,0,0,5479,12/24/2009,12/24/2024,0.613,1,0,876,43451.64,43025.78,0.274,0,0,0,658,42766.7,41909.88,0.268,0,0,0,719,41261.57,43719.88,0.279,0,0,0,664,41789.23,42442.24,0.285,0,0,0,825,41483.18,40884.99,0.24,0,0,0,833,36889.02,40960.8,0.245,0,0,0
1468,,0,0,,0,0,3652,12/22/2009,12/22/2019,0.163,1,0,824,10094.07,10029.65,0.098,0,0,0,788,9710.06,9842.93,0.091,0,0,0,829,9520.96,9840.33,1.005,0,0,0,796,9232.52,9053.04,0.955,0,0,0,821,8674.55,9308.2,0.658,0,0,0,854,8997.94,8565.26,0.633,0,0,0
1469,,0,0,,0,0,3652,12/22/2009,12/22/2019,0.319,1,0,761,25472.9,26609.44,0.125,0,0,0,793,24742.8,25083.88,0.132,0,0,0,0,25234.63,24829.7,0,0,0,0,0,24460.87,24486.4,0,0,0,0,808,24143.77,22538.61,0.123,0,0,0,785,22458.96,21788.59,0.117,0,0,0
1470,,0,0,,0,0,5479,12/23/2009,12/23/2024,0.199,1,0,844,111132.57,113780.28,0.217,0,0,0,788,103701.91,107380.29,0.235,0,0,0,0,109229.64,104295.9,0,0,0,0,0,102964.21,109688.09,0,0,0,0,0,100996.95,103370.17,0,0,0,0,0,103214.76,104536.97,0,0,0,0
1471,,0,0,,0,0,5479,12/29/2009,12/29/2024,0.608,1,0,803,53736.94,58794.39,0.484,0,0,0,836,53276.68,54875.74,0.47,0,0,0,0,53364.46,53258.97,0.53,0,0,0,0,55621.69,54376.76,0.505,0,0,0,804,51342.77,58921.67,0.425,0,0,0,837,55699.02,57254.99,0.434,0,0,0
1472,,0,0,,0,0,3654,1/4/2010,1/6/2020,0.339,1,0,817,21444.94,20489.05,0.151,0,0,0,776,19467.12,20140.97,0.153,0,0,0,776,19515.97,19387.9,0.116,0,0,0,808,18581.23,19553.56,0.109,0,0,0,808,18402.6,19530.04,0.122,0,0,0,848,17128.74,18929.35,0.119,0,0,0
1473,,0,0,,0,0,5479,1/2/2010,1/2/2025,0.327,1,0,846,50186.34,49387.62,0.238,0,0,0,872,50757.43,48968.13,0.253,0,0,0,0,47362.66,48546.76,0.272,0,0,0,0,50864.38,51041.91,0.254,0,0,0,862,49447.62,48130.83,0.218,0,0,0,845,48526.56,49155.75,0.204,0,0,0
1474,,0,0,,0,0,3654,1/4/2010,1/6/2020,0.424,1,0,819,40388.19,37418.61,0.171,0,0,0,572,37419.24,39449.69,0.187,0,0,0,578,34917.54,36145.27,0.178,0,0,0,595,35351.97,37909.22,0.166,0,0,0,544,33965.3,35380.63,0.181,0,0,0,562,34611.62,35311.02,0.141,0,0,0
1475,,0,0,,0,0,5481,1/7/2010,1/9/2025,0.181,1,0,771,14906.37,14359.34,0.083,0,0,0,741,14757.31,14358.19,0.084,12,0,1,0,13477.01,13938.03,0.094,0,0,0,0,14041.83,12830.23,0.09,0,0,0,756,13363.92,12841.87,0.542,0,0,0,727,11954.34,11813.73,0.51,0,0,0
1476,,0,0,,0,0,3654,1/7/2010,1/9/2020,0.154,1,0,744,9978.44,10745.43,0.095,0,0,0,774,10117.61,10356.87,0.092,0,0,0,0,9544.61,9972.72,0.082,0,0,0,0,9656.39,9279.92,0.079,0,0,0,724,9651.76,9567.77,0.248,0,0,0,739,8549.13,8728.99,0.239,0,0,0
1477,,0,0,,0,0,5481,1/13/2010,1/15/2025,0.574,1,0,738,108074.75,109622,0.36,0,0,0,783,104948.85,107555.22,0.36,0,0,0,0,102929.78,110886.61,0,0,0,0,0,106237.88,102254.37,0,0,0,0,730,102095.18,103424.69,0.321,0,0,0,768,105305.76,106662.34,0.335,0,0,0
1478,,0,0,,0,0,5481,1/18/2010,1/20/2025,0.232,1,0,688,28084.9,23694.81,0.151,0,0,0,681,29255.58,25688.16,0.147,0,0,0,0,29006.65,25213.92,0.211,0,0,0,0,26544.48,27067.46,0.207,0,0,0,628,26586.57,26543.16,0.377,0,0,0,648,26894.37,26292.34,0.389,0,0,0
1479,,0,0,,0,0,5480,1/28/2010,1/29/2025,0.247,1,0,792,53442.75,56376.15,0.155,0,0,0,825,51283.45,53119.56,0.16,0,0,0,875,50399.67,55932.62,0.472,0,0,0,791,51532.25,53278.55,0.435,0,0,0,797,51592.31,52794.8,0.497,0,0,0,814,52157.21,49693.53,0.497,0,0,0
1480,,0,0,,0,0,3654,1/25/2010,1/27/2020,0.51,1,0,847,41652.79,41392.16,0.192,0,0,0,797,40083.52,39031.51,0.196,0,0,0,0,38578.32,37163.32,0.219,0,0,0,0,35592.11,39768.52,0.213,0,0,0,834,37074.77,37100.27,0.459,0,0,0,793,36282.37,36298.89,0.419,0,0,0
1481,,0,0,,0,0,3653,2/3/2010,2/4/2020,0.187,1,0,808,18937.14,17910.35,0.088,0,0,0,816,17877.94,18297.24,0.082,0,0,0,876,17534.78,16905.73,0.071,0,0,0,833,15844.93,17535.59,0.065,0,0,0,850,16326.3,16662.48,0.068,0,0,0,867,15022.36,15176.21,0.064,0,0,0
1482,,0,0,,0,0,3653,2/15/2010,2/16/2020,0.502,1,0,731,28880,28708.11,0.229,0,0,0,716,27049.29,26875.14,0.234,0,0,0,0,27116.15,25625.86,0.199,0,0,0,0,25600.42,27179.96,0.182,0,0,0,709,24374.04,25391.97,0.143,0,0,0,709,23898.09,23173.18,0.15,0,0,0
1483,,0,0,,0,0,3653,2/14/2010,2/15/2020,0.446,1,0,814,34922,34343.09,0.283,0,0,0,806,33673.03,34139.02,0.264,0,0,0,0,33441.91,32216.49,0.237,0,0,0,0,31544.18,32224.5,0.221,0,0,0,858,31909.74,31296.91,0.211,0,0,0,849,32197.18,32535.09,0.201,0,0,0
1484,,0,0,,0,0,3653,2/13/2010,2/14/2020,0.056,1,0,881,5064.65,5083.38,0.028,0,0,0,839,5453.13,5003.65,0.028,0,0,0,0,4903.46,4971.33,0.024,0,0,0,0,4670.34,4970.96,0.023,0,0,0,812,4633.29,4973.14,0.023,0,0,0,845,4821.88,4497.7,0.023,0,0,0
1485,,0,0,,0,0,3653,2/22/2010,2/23/2020,0.135,1,0,851,20706.94,20159.93,0.062,0,0,0,842,20761.02,19217.29,0.059,0,0,0,842,19603.43,18884.98,0.284,0,0,0,867,19238.71,18488.75,0.287,0,0,0,845,17751.09,18502.43,0.32,0,0,0,787,17930.89,18298.72,0.317,0,0,0
1486,,0,0,,0,0,5479,2/21/2010,2/21/2025,0.278,1,0,808,38921.79,36398.84,0.186,0,0,0,816,36258.36,36784.05,0.188,0,0,0,0,38499.19,35650.72,0.174,0,0,0,0,37724.48,38208.3,0.18,0,0,0,876,34760.42,35571.33,0.17,0,0,0,850,36917.12,35180.28,0.178,0,0,0
1487,,0,0,,0,0,5479,2/23/2010,2/23/2025,0.094,1,0,709,16391.9,14240.52,0.085,0,0,0,709,16256.36,13951.54,0.084,0,0,0,0,15337.63,15117.88,0.1,0,0,0,0,15828.14,16448.65,0.093,0,0,0,815,15384.29,15972.96,0.652,0,0,0,760,14640.15,14875.65,0.713,0,0,0
1488,,0,0,,0,0,5479,2/22/2010,2/22/2025,0.564,1,0,533,108122.79,92474.42,0.438,0,0,0,560,102930.76,90751.63,0.417,0,0,0,0,110564.65,89031.84,0,0,0,0,0,109616.66,106652.31,0,0,0,0,0,103292.62,100929.98,0,0,0,0,0,99260.68,107122.41,0,0,0,0
1489,,0,0,,0,0,5479,2/24/2010,2/24/2025,0.305,1,0,765,50380.85,51123.5,0.32,0,0,0,789,53106.13,55437.25,0.32,0,0,0,0,49519.82,50768.91,0.323,0,0,0,0,51669.85,54970.52,0.317,0,0,0,764,53772.05,50843.92,0.27,0,0,0,796,52273.54,48837.82,0.276,0,0,0
1490,,0,0,,0,0,5479,2/24/2010,2/24/2025,0.743,1,0,652,84382.72,80157.22,0.627,23,0,1,610,82695.07,78108.35,0.653,54,0,1,667,87758.03,77617.89,0.621,88,0,1,622,82022.06,86799.53,0.63,90,0,1,635,78855.8,80972.95,0.778,83,0,1,604,0,78079.13,0,0,0,0
1491,,0,0,,0,0,3652,3/1/2010,2/29/2020,0.388,1,0,793,22910.22,25264.97,0.175,0,0,0,841,23280,23664.66,0.181,0,0,0,0,21657.67,23348.44,0,0,0,0,0,20700.5,21445.7,0,0,0,0,786,20206.64,21313.18,0,0,0,0,835,18517.85,19339.47,0,0,0,0
1492,,0,0,,0,0,5478,3/1/2010,2/28/2025,0.751,1,0,704,85505.64,74619.48,0.631,0,0,0,704,80572.62,72626.23,0.663,0,0,0,0,77607.34,71637.89,0.741,0,0,0,0,76942.34,84497.86,0.735,0,0,0,0,82630.49,82064.56,0.751,0,0,0,0,75603.19,84483.81,0.584,0,0,0
1493,,0,0,,0,0,3653,3/9/2010,3/9/2020,0.4,1,0,816,41897.64,42486.88,0.179,0,0,0,808,41257.72,42251.99,0.176,0,0,0,0,42231.47,43202.95,0.204,0,0,0,0,40297.58,41556.07,0.198,0,0,0,735,37239.51,38037.1,0.158,0,0,0,788,37302.34,38458.14,0.149,0,0,0
1494,,0,0,,0,0,3653,3/3/2010,3/3/2020,0.522,1,0,724,46360.16,46532.52,0.267,0,0,0,771,46126.31,44890.41,0.283,0,0,0,741,45839.34,43723.43,0.195,0,0,0,726,41965.04,46009.68,0.191,0,0,0,747,42527.36,44728.31,0.176,0,0,0,754,42152.42,44285.99,0.178,0,0,0
1495,,0,0,,0,0,3653,4/25/2010,4/25/2020,0.088,1,0,798,5607.83,5685.07,0.052,0,0,0,782,5580.75,5601.05,0.049,0,0,0,0,5280.87,5299.58,0.049,0,0,0,0,4988.64,5097.59,0.046,0,0,0,813,4906.44,5011.52,0.438,0,0,0,821,4771.7,5121.01,0.413,0,0,0
1496,,0,0,,0,0,3653,3/15/2010,3/15/2020,0.489,1,0,825,47521.54,48642.73,0.217,0,0,0,834,45867.22,46033.2,0.213,0,0,0,0,42891.35,46629.17,0.233,0,0,0,0,41310.58,43093.42,0.236,0,0,0,868,43554.77,43602.34,0.581,0,0,0,868,41904.21,40687.28,0.593,0,0,0
1497,,0,0,,0,0,3653,3/6/2010,3/6/2020,0.567,1,0,850,41286,42707.47,0.259,0,0,0,842,39358.63,40734.84,0.239,0,0,0,893,37870.69,38803.4,0.23,0,0,0,825,39111.71,39543.5,0.21,0,0,0,806,39459.34,37223.03,0.237,0,0,0,882,36795.72,36441.21,0.228,0,0,0
1498,,0,0,,0,0,5479,3/6/2010,3/6/2025,0.473,1,0,728,86940.12,82980.09,0.349,0,0,0,691,81954.84,90007.26,0.339,0,0,0,643,81270.4,84151.58,0,0,0,0,711,80582.83,88455.78,0,0,0,0,772,79059.91,82627.45,0.449,0,0,0,734,78373.27,86077.78,0.444,0,0,0
1499,,0,0,,0,0,3653,3/8/2010,3/8/2020,0.395,1,0,811,31596.6,33675.77,0.255,0,0,0,880,33341.96,33462.62,0.245,0,0,0,821,31859.22,31350.54,0.176,0,0,0,821,29201.74,31660.49,0.176,0,0,0,880,30153.32,28114.65,0.19,0,0,0,830,29579.47,28455.57,0.188,0,0,0
1500,,0,0,,0,0,5479,3/8/2010,3/8/2025,0.186,1,0,804,14212.07,14123.19,0.11,0,0,0,788,13281.91,14453.89,0.104,0,0,0,0,13336.29,14488.82,0.112,0,0,0,0,12974.8,13809.07,0.112,0,0,0,0,12882.55,13163.53,0.107,0,0,0,0,13567.24,13586.7,0.091,0,0,0
1501,,0,0,,0,0,5479,3/17/2010,3/17/2025,0.268,1,0,861,39030.15,39409.26,0.226,0,0,0,845,38708.52,36749.41,0.217,0,0,0,0,36127.46,39880.77,0,0,0,0,0,38434,38764.37,0,0,0,0,0,36624.94,38802.06,0,0,0,0,0,37040.5,36166.59,0,0,0,0
1502,,0,0,,0,0,3653,3/17/2010,3/17/2020,0.328,1,0,847,24241.43,23150.41,0.118,0,0,0,863,23173.05,21875.3,0.128,0,0,0,0,22349.39,22203.77,0.139,0,0,0,0,21970.23,21996.89,0.131,0,0,0,819,20095.84,20956.6,0.115,0,0,0,853,21579.44,20977.24,0.114,0,0,0
1503,,0,0,,0,0,3653,3/20/2010,3/20/2020,0.459,1,0,848,25892.5,25988.77,0.2,0,0,0,821,27043.98,25849.37,0.19,0,0,0,837,24586.88,24673.41,0.172,0,0,0,846,24906.73,23457.81,0.177,0,0,0,874,23032.92,23764.23,0.163,0,0,0,832,23530.79,22614.3,0.167,0,0,0
1504,,0,0,,0,0,3653,3/21/2010,3/21/2020,0.408,1,0,813,22367.71,22232.89,0.175,0,0,0,789,21593.25,20821.53,0.18,0,0,0,0,21446.06,20900.73,0.182,0,0,0,0,19869.59,20092.59,0.194,0,0,0,867,18736.4,20519.16,0.148,0,0,0,850,18582.34,18970.75,0.144,0,0,0
1505,,0,0,,0,0,5479,3/22/2010,3/22/2025,0.172,1,0,876,36982.75,35651.2,0.118,0,0,0,846,37044.63,36092.32,0.117,0,0,0,821,37826.41,38345.74,0.39,0,0,0,854,37867.04,36176.69,0.39,0,0,0,794,35039.65,36586.47,0.463,0,0,0,844,36861.99,35545.95,0.44,0,0,0
1506,,0,0,,0,0,5479,3/23/2010,3/23/2025,0.369,1,0,803,49665.39,50379.51,0.239,0,0,0,879,50709.93,47892.47,0.227,0,0,0,0,51071.4,49285.92,0.214,0,0,0,0,48547.37,50169.12,0.209,0,0,0,840,49044.71,49672.37,0.23,0,0,0,791,49391.9,47587.07,0.232,0,0,0
1507,,0,0,,0,0,3744,3/22/2010,6/21/2020,0.097,1,0,734,7444.72,7866.09,0.058,0,0,0,644,7579.52,7684.23,0.06,0,0,0,631,7624.32,7126.52,0,0,0,0,691,7511.55,7228.72,0,0,0,0,709,7181.03,7404.9,0,0,0,0,689,6787.76,7141.49,0,0,0,0
1508,,0,0,,0,0,5479,3/20/2010,3/20/2025,0.773,1,0,827,74372.55,78521.94,0.594,0,0,0,787,72212.07,72500.5,0.589,0,0,0,0,72335.68,74134.42,0,0,0,0,0,75430.43,73371.71,0,0,0,0,0,77715.19,74204.2,0,0,0,0,0,74809.14,77234.14,0,0,0,0
1509,,0,0,,0,0,3653,3/25/2010,3/25/2020,0.077,1,0,614,5636.52,5327.92,0.031,0,0,0,639,5441.97,5140.39,0.035,0,0,0,693,4937.69,5268.02,0.518,0,0,0,653,5160.47,5104.21,0.492,0,0,0,636,4920.38,5012.48,0.51,0,0,0,682,5019.92,5061.99,0.53,0,0,0
1510,,0,0,,0,0,5479,3/31/2010,3/31/2025,0.341,1,0,829,45553.65,44845.14,0.238,0,0,0,805,42427.42,47083.74,0.24,0,0,0,0,45241.25,43219.27,0,0,0,0,0,41810.46,45448.27,0,0,0,0,753,42748.08,43741.27,0,0,0,0,737,44089.67,44223.52,0,0,0,0
1511,,0,0,,0,0,3653,3/27/2010,3/27/2020,0.119,1,0,752,7401,7128.38,0.069,0,0,0,733,7215.47,7534.17,0.068,0,0,0,712,7100.13,7338.87,0.053,0,0,0,684,6634.64,7128.45,0.052,0,0,0,691,6385.15,6726.6,0.054,0,0,0,677,6203.98,6533.7,0.051,0,0,0
1512,,0,0,,0,0,5479,3/31/2010,3/31/2025,0.326,1,0,816,85747.61,82002.11,0.116,0,0,0,833,82481.03,86095.55,0.113,0,0,0,0,84332.75,84674.05,0,0,0,0,0,78045.76,81491.23,0,0,0,0,833,82904.91,77584.08,0,0,0,0,825,79055.19,77694.19,0,0,0,0
1513,,0,0,,0,0,5540,4/5/2010,6/5/2025,0.256,1,0,742,72720.92,66615.47,0.154,0,0,0,735,71456.89,60272.47,0.159,0,0,0,685,70882.82,62201.91,0.189,0,0,0,728,68278.07,72263.9,0.191,0,0,0,691,65704.1,66783.17,0.169,0,0,0,720,65820.55,68888.5,0.169,0,0,0
1514,,0,0,,0,0,3653,4/17/2010,4/17/2020,0.295,1,0,893,13871.02,13911.45,0.111,0,0,0,850,14368.99,14270.36,0.106,0,0,0,0,13028.42,12540.25,0.07,0,0,0,0,12359.68,12313.57,0.069,0,0,0,842,11786.28,11394.71,0.064,0,0,0,850,10964.81,10489.33,0.065,0,0,0
1515,,0,0,,0,0,3653,4/14/2010,4/14/2020,0.303,1,0,884,18561.75,18631.09,0.145,0,0,0,884,18289.59,17992.65,0.144,0,0,0,0,17476.83,17538.72,0,0,0,0,0,16852.4,16521.16,0,0,0,0,808,17574.27,16075.33,0.105,0,0,0,893,16439.33,16121.44,0.105,0,0,0
1516,,0,0,,0,0,3653,4/18/2010,4/18/2020,0.242,1,0,793,8465.72,7915.25,0.065,0,0,0,825,7675.14,7697.64,0.066,0,0,0,0,7014.88,6631.81,0.042,0,0,0,0,5847.81,5764.21,0.038,0,0,0,751,4975.81,5311.39,0.038,0,0,0,815,4566.75,4194.08,0.037,0,0,0
1517,,0,0,,0,0,3653,4/19/2010,4/19/2020,0.218,1,0,855,17626.26,18064.57,0.1,0,0,0,857,18100.59,18893.11,0.099,0,0,0,857,17292.43,18416.14,0.089,0,0,0,815,17875.73,16513.32,0.087,0,0,0,840,16227.28,16067.38,0.091,0,0,0,882,16430.88,16935.23,0.088,0,0,0
1518,,0,0,,0,0,3653,4/29/2010,4/29/2020,0.328,1,0,800,37122.69,36143.53,0.118,0,0,0,817,37865.14,36511.87,0.116,0,0,0,785,37071.17,34722.31,0.117,0,0,0,833,35423.55,35128.33,0.123,0,0,0,753,33808.66,32149.81,0.096,0,0,0,785,31250.14,32899.99,0.099,0,0,0
1519,,0,0,,0,0,3653,4/24/2010,4/24/2020,0.749,1,0,851,24583.6,24322.28,0.392,0,0,0,831,23521.71,22777.37,0.369,0,0,0,864,23604.54,22193.86,0,0,0,0,848,20803.2,21490.28,0,0,0,0,801,22165.82,22657.59,0.342,0,0,0,835,20518.78,20303.9,0.346,0,0,0
1520,,0,0,,0,0,3653,4/26/2010,4/26/2020,0.127,1,0,794,18967.1,19322.64,0.079,0,0,0,769,17601.5,18654.36,0.074,0,0,0,761,17154.78,16925.08,0.06,0,0,0,769,16194.79,17785.04,0.062,0,0,0,750,16919.27,16776.48,0.057,0,0,0,743,15642.2,15796.25,0.058,0,0,0
1521,,0,0,,0,0,3653,4/26/2010,4/26/2020,0.155,1,0,718,13777.3,13044.55,0.044,0,0,0,783,14483.15,13808.16,0.043,0,0,0,776,12813.5,12819.33,0.041,0,0,0,791,13021.61,12350.82,0.042,0,0,0,709,12426.41,12272.98,0.038,0,0,0,761,11828.73,12145.66,0.041,0,0,0
1522,,0,0,,0,0,5509,5/4/2010,6/3/2025,0.278,1,0,617,33185.78,30058.61,0.249,0,0,0,599,33940.71,30105.24,0.275,0,0,0,0,31984.64,28983.36,0.312,0,0,0,0,35063.83,33799.54,0.326,0,0,0,584,34443.71,32533,0.581,0,0,0,561,34484.65,32557.48,0.564,0,0,0
1523,,0,0,,0,0,5479,5/4/2010,5/4/2025,0.432,1,0,654,46277.53,40295.71,0.328,0,0,0,617,45905.71,42818.62,0.348,0,0,0,623,42853.82,39517.81,0.348,0,0,0,611,43828.81,44725.19,0.324,0,0,0,573,42145.89,43413.62,0.377,0,0,0,535,45271.95,43888.98,0.396,0,0,0
1524,,0,0,,0,0,3653,5/9/2010,5/9/2020,0.09,1,0,841,5975.54,5573.34,0.046,0,0,0,808,5497.62,5529.27,0.044,0,0,0,0,5473.34,5637.54,0.041,0,0,0,0,5549.71,5229.53,0.042,0,0,0,803,4990.64,4938.65,0.05,0,0,0,828,5212.11,5063.66,0.048,0,0,0
1525,,0,0,,0,0,3653,5/10/2010,5/10/2020,0.561,1,0,859,55807.79,53577.1,0.259,0,0,0,893,51307.58,54913.47,0.262,0,0,0,0,48490.44,50914.25,0.26,0,0,0,0,48233.26,53422.9,0.274,0,0,0,824,48885.99,48957.96,0.224,0,0,0,841,48956.37,46115.61,0.215,0,0,0
1526,,0,0,,0,0,3653,5/10/2010,5/10/2020,0.308,1,0,757,18632.87,18511.95,0.129,0,0,0,631,18747.37,19188.53,0.125,0,0,0,662,17384.16,19081.66,0.157,0,0,0,650,18182.96,18032.72,0.156,0,0,0,625,17540.26,17734.47,0.148,0,0,0,619,17239.52,17425.19,0.138,0,0,0
1527,,0,0,,0,0,3653,5/16/2010,5/16/2020,0.453,1,0,688,45664.22,41519.58,0.264,0,0,0,752,46345.65,40463.12,0.264,0,0,0,730,43491.46,41431.27,0.239,0,0,0,715,42818.08,42560.58,0.235,0,0,0,752,41300.59,40607.27,0.214,0,0,0,723,37810.29,41086.13,0.198,0,0,0
1528,,0,0,,0,0,3653,5/19/2010,5/19/2020,0.179,1,0,860,14011.87,13791.36,0.087,0,0,0,847,13946.34,13997.36,0.086,0,0,0,831,12570.52,12355.2,0.069,0,0,0,856,13014.01,13417.7,0.072,0,0,0,825,12432.29,11947.76,0.067,0,0,0,825,11502.74,11990.03,0.067,0,0,0
1529,,0,0,,0,0,3653,5/17/2010,5/17/2020,0.724,1,0,744,23340.12,23427.7,0.372,0,0,0,673,23936.82,22176.34,0.395,0,0,0,673,22678.67,21632.76,0,0,0,0,660,22327.55,22702.43,0,0,0,0,668,21749.48,22104.9,0,0,0,0,682,20753.94,21083.77,0,0,0,0
1530,,0,0,,0,0,3653,5/17/2010,5/17/2020,0.292,1,0,807,23379.82,23228.09,0.138,0,0,0,815,23989.3,24310.8,0.133,0,0,0,0,22494.62,23030.82,0,0,0,0,0,22815.25,23074.78,0,0,0,0,798,21577.25,20725.35,0,0,0,0,857,19951.32,21227.57,0,0,0,0
1531,,0,0,,0,0,5479,5/26/2010,5/26/2025,0.375,1,0,676,49119.39,47243.14,0.345,0,0,0,704,46313.07,43224.85,0.338,0,0,0,0,45936.68,43243.29,0.381,0,0,0,0,47456.85,47347.9,0.41,0,0,0,690,45178.74,47879.1,0.318,0,0,0,690,47130.35,50304.85,0.314,0,0,0
1532,,0,0,,0,0,5479,5/25/2010,5/25/2025,0.728,1,0,728,71618.14,62398.66,0.58,0,0,0,706,70353.35,61799.58,0.628,0,0,0,0,70465.41,65610.9,0,0,0,0,0,68528.1,71819.73,0,0,0,0,684,67283.6,71155.2,0.61,0,0,0,727,68716.46,68431.21,0.58,0,0,0
1533,,0,0,,0,0,3653,5/31/2010,5/31/2020,0.222,1,0,821,23974.87,25800.81,0.113,0,0,0,837,24222.03,24309.51,0.122,0,0,0,870,23775.72,23859.86,0.067,0,0,0,820,23637.09,24130.54,0.064,0,0,0,832,22130.94,22820.78,0.062,0,0,0,784,21975.44,22864.48,0.066,0,0,0
1534,,0,0,,0,0,3653,6/2/2010,6/2/2020,0.138,1,0,864,11173.91,12344.2,0.086,0,0,0,873,12065.98,11820.61,0.081,0,0,0,0,11780.61,11307.32,0.087,0,0,0,0,10946.66,10973.63,0.081,0,0,0,803,10779.23,10910.1,0.132,0,0,0,795,9981.25,10726.85,0.133,0,0,0
